Time,PID,Tickets,Pass,Stride,Runtime
41537,19,8,0,128,1664
41537,20,8,0,128,1663
43233,5,1,0,1024,3261
43233,4,8,0,128,11
43233,6,2,0,512,3260
43233,7,4,0,256,3260
43233,8,8,0,128,3260
43233,9,16,0,64,3259
43233,10,32,0,32,3259
43233,11,32,0,32,3259
43233,12,32,0,32,3259
43233,13,32,0,32,3259
43233,14,32,0,32,3259
43233,15,32,0,32,1770
43233,16,32,0,32,1770
43233,17,8,0,128,1770
43233,18,2,0,512,1770
43233,19,8,0,128,1770
43233,20,8,0,128,1769
45041,5,1,0,1024,3374
45041,4,8,0,128,11
45041,6,2,0,512,3373
45041,7,4,0,256,3373
45041,8,8,0,128,3373
45041,9,16,0,64,3372
45041,10,32,0,32,3372
45041,11,32,0,32,3372
45041,12,32,0,32,3372
45041,13,32,0,32,3372
45041,14,32,0,32,3372
45041,15,32,0,32,1883
45041,16,32,0,32,1883
45041,17,8,0,128,1883
45041,18,2,0,512,1883
45041,19,8,0,128,1883
45041,20,8,0,128,1882
46849,5,1,0,1024,3487
46849,4,8,0,128,11
46849,6,2,0,512,3486
46849,7,4,0,256,3486
46849,8,8,0,128,3486
46849,9,16,0,64,3485
46849,10,32,0,32,3485
46849,11,32,0,32,3485
46849,12,32,0,32,3485
46849,13,32,0,32,3485
46849,14,32,0,32,3485
46849,15,32,0,32,1996
46849,16,32,0,32,1996
46849,17,8,0,128,1996
46849,18,2,0,512,1996
46849,19,8,0,128,1996
46849,20,8,0,128,1995
48657,5,1,0,1024,3600
48657,4,8,0,128,11
48657,6,2,0,512,3599
48657,7,4,0,256,3599
48657,8,8,0,128,3599
48657,9,16,0,64,3598
48657,10,32,0,32,3598
48657,11,32,0,32,3598
48657,12,32,0,32,3598
48657,13,32,0,32,3598
48657,14,32,0,32,3598
48657,15,32,0,32,2109
48657,16,32,0,32,2109
48657,17,8,0,128,2109
48657,18,2,0,512,2109
48657,19,8,0,128,2109
48657,20,8,0,128,2108
